StateName	ConstituencyName	LeadingCandidate	LeadingParty	TrailingCandidate	TrailingParty	Margin	LeadingParty2014
Bihar	Valmiki Nagar	Baidyanath Prasad Mahto	Janata Dal  (United)	Shashwat Kedar	Indian National Congress	354616	Bharatiya Janata Party
Chandigarh	Chandigarh	Kirron Kher	Bharatiya Janata Party	Pawan Kumar Bansal	Indian National Congress	46970	Bharatiya Janata Party
Chhattisgarh	Bastar	Deepak Baij	Indian National Congress	Baidu Ram Kashyap	Bharatiya Janata Party	38982	Bharatiya Janata Party
Chhattisgarh	Bilaspur	Arun Sao	Bharatiya Janata Party	Atal Shrivastav	Indian National Congress	141763	Bharatiya Janata Party
Chhattisgarh	Durg	Vijay Baghel	Bharatiya Janata Party	Pratima Chandrakar	Indian National Congress	391978	Indian National Congress
Chhattisgarh	Janjgir-champa	Guharam Ajgalley	Bharatiya Janata Party	Ravi Parasram Bhardwaj	Indian National Congress	83255	Bharatiya Janata Party
Chhattisgarh	Kanker	Mohan Mandavi	Bharatiya Janata Party	Biresh Thakur	Indian National Congress	6914	Bharatiya Janata Party
Chhattisgarh	Korba	Jyotsna Charandas Mahant	Indian National Congress	Jyoti Nand Dubey	Bharatiya Janata Party	26349	Bharatiya Janata Party
Chhattisgarh	Mahasamund	Chunni Lal Sahu	Bharatiya Janata Party	Dhanendra Sahu	Indian National Congress	90511	Bharatiya Janata Party
Chhattisgarh	Raigarh	Gomati Sai	Bharatiya Janata Party	Laljeet Singh Rathia	Indian National Congress	66027	Bharatiya Janata Party
Chhattisgarh	Raipur	Sunil Kumar Soni	Bharatiya Janata Party	Pramod Dubey	Indian National Congress	348238	Bharatiya Janata Party
Chhattisgarh	Rajnandgaon	Santosh Pandey	Bharatiya Janata Party	Bhola Ram Sahu	Indian National Congress	111966	Bharatiya Janata Party
Chhattisgarh	Sarguja	Renuka Singh Saruta	Bharatiya Janata Party	Khel Sai Singh	Indian National Congress	157873	Bharatiya Janata Party
Dadra & Nagar Haveli	Dadar & Nagar Haveli	Delkar Mohanbhai Sanjibhai	Independent	Patel Natubhai Gomanbhai	Bharatiya Janata Party	9001	Bharatiya Janata Party
Daman & Diu	Daman & Diu	Lalubhai Babubhai Patel	Bharatiya Janata Party	Ketan Dahyabhai Patel	Indian National Congress	9942	Bharatiya Janata Party
Goa	North Goa	Shripad Yesso Naik	Bharatiya Janata Party	Girish Raya Chodankar	Indian National Congress	80247	Bharatiya Janata Party
Goa	South Goa	Cosme Francisco Caitano Sardinha	Indian National Congress	Adv. Narendra Sawaikar	Bharatiya Janata Party	9755	Bharatiya Janata Party
Gujarat	Ahmedabad East	Patel Hasmukhbhai Somabhai	Bharatiya Janata Party	Gitaben Patel	Indian National Congress	434330	Bharatiya Janata Party
Gujarat	Ahmedabad West	Dr. Kirit P. Solanki	Bharatiya Janata Party	Raju Parmar	Indian National Congress	321546	Bharatiya Janata Party
Gujarat	Amreli	Kachhadiya Naranbhai Bhikhabhai	Bharatiya Janata Party	Paresh Dhanani	Indian National Congress	201431	Bharatiya Janata Party
Gujarat	Anand	Patel Mitesh Rameshbhai (bakabhai)	Bharatiya Janata Party	Bharatbhai Madhavsinh Solanki	Indian National Congress	197718	Bharatiya Janata Party
